age,goals,assists,annual_wage,non_penalty_goals,shot_creating_actions,passes_attempted,pass_completion,progressive_passes,progressive_carries,successful_take_ons,progressive_passes_rec,tackles,interceptions,blocks,clearances,aerials_won,penalty_play,play_time,shots_touches,position_DF,"position_DF,FW",position_FW,"position_FW,MF",position_MF,"position_MF,DF",league_Bundesliga,league_La Liga,league_Ligue 1,league_Premier League,league_Serie A
32.0,1,0,730000.0,0.1,0.86,38.53,0.847,2.47,0.57,0.19,0.1,1.33,1.24,0.76,4.09,1.62,-0.3573753679180987,-1.2097601930705075,-1.474854022917491,True,False,False,False,False,False,False,True,False,False,False
27.0,6,6,4800000.0,0.24,4.37,50.98,0.752,7.2,2.12,0.98,6.57,1.81,0.83,1.46,0.55,0.51,-0.3573753679180987,1.0933244708842802,0.28086125036945603,False,False,False,True,False,False,False,False,True,False,False
28.0,3,5,2780000.0,0.16,5.01,41.54,0.725,4.79,2.56,0.98,7.89,0.98,0.27,0.54,0.44,0.49,-0.3573753679180987,-0.2689052989174826,1.460950606208478,False,False,False,True,False,False,False,False,False,False,True
24.0,3,0,1480000.0,0.1,0.86,43.9,0.848,2.29,0.51,0.0,0.41,2.36,2.53,0.72,4.66,2.91,-0.3573753679180987,1.607853009384138,-1.3136658716953797,True,False,False,False,False,False,False,False,False,False,True
28.0,0,0,740000.0,0.0,1.54,28.94,0.688,3.5,0.49,0.18,1.11,1.84,0.49,0.92,1.97,1.97,-0.3573753679180987,0.3730337268027363,-0.5138872481387743,False,False,False,False,True,False,False,False,False,False,True
24.0,0,0,280000.0,0.1261604938271605,2.2377777777777776,44.491006172839505,0.0,3.6607901234567897,1.7304753086419755,0.8134999999999999,3.861845679012346,1.6527283950617284,0.8093209876543209,1.1469012345679013,1.9009814814814816,1.3943333333333332,-0.3573753679180987,-1.9099959359986365,-2.761993637190646e-17,False,False,False,False,False,True,False,False,False,False,True
33.0,1,3,5560000.0,0.04,3.91,67.56,0.821,5.43,1.71,0.18,2.42,2.29,1.03,0.99,1.48,0.45,-0.3573753679180987,0.6650923078887804,-0.3006516690642058,True,False,False,False,False,False,False,False,False,False,True
25.0,0,1,190000.0,0.0,1.98,49.82,0.785,4.14,0.72,0.27,1.08,1.71,2.34,1.35,2.88,2.16,-0.3573753679180987,-0.5746533284695785,-1.3118705899550758,True,False,False,False,False,False,False,False,False,False,True
23.0,0,2,740000.0,0.0,2.17,44.08,0.755,3.26,2.76,0.84,4.35,1.59,0.42,1.34,2.09,0.59,-0.3573753679180987,-1.0236280239142326,-1.1679238157909322,True,False,False,False,False,False,False,False,False,False,True
29.0,0,0,5560000.0,0.03,0.43,64.63,0.917,3.01,0.2,0.0,0.09,0.87,1.01,1.1,4.08,2.43,-0.3573753679180987,1.3707791471854178,-1.269462845038869,True,False,False,False,False,False,False,False,False,False,True
25.0,0,1,330000.0,0.0,3.31,36.02,0.763,2.35,2.46,1.71,7.16,2.57,0.53,1.82,0.43,0.32,-0.3573753679180987,-1.019122512251354,0.2017873259304928,False,True,False,False,False,False,False,False,False,False,True
22.0,2,13,2000000.0,0.12,5.22,43.27,0.711,5.72,2.89,0.89,6.21,1.18,0.58,0.64,0.58,0.29,0.4299962984797824,2.151660249999129,1.5485479486944818,False,False,False,True,False,False,False,True,False,False,False
28.0,5,2,4833857.0,0.19,4.27,41.88,0.768,5.76,4.46,1.6,7.02,1.19,0.71,0.74,0.37,0.3,-0.3573753679180987,1.7067473409443508,1.1487799904532947,False,False,False,True,False,False,False,False,False,True,False
26.0,0,0,1790000.0,0.05,1.65,32.98,0.723,3.3,1.15,0.55,2.5,1.3,0.8,0.9,1.7,1.1,-0.3573753679180987,-0.1115852234444145,-0.4812970462450875,False,False,False,False,True,False,True,False,False,False,False
20.0,1,1,2416928.0,0.09,3.99,41.42,0.761,4.44,2.18,1.18,3.17,2.18,1.09,1.27,1.63,1.27,-0.3573753679180987,-0.504150248478494,0.23500837856492873,False,False,False,False,True,False,False,False,False,True,False
24.0,0,3,240000.0,0.0,4.96,30.86,0.631,3.03,2.89,3.18,7.62,1.78,0.81,1.26,1.18,1.33,-0.3573753679180987,0.120214578477139,1.068153491348258,False,False,False,True,False,False,False,True,False,False,False
24.0,21,2,7250785.0,0.52,2.62,20.04,0.786,2.91,2.71,1.6,5.36,0.29,0.16,0.65,0.49,0.49,8.816868189738257,1.546879693151059,2.474643825690746,False,False,True,False,False,False,False,False,False,True,False
28.0,23,6,3600000.0,0.71,2.38,16.73,0.737,1.49,1.85,1.04,5.63,0.15,0.03,0.42,1.04,2.68,-0.3573753679180987,1.9609287934757311,2.5166310034464527,False,False,True,False,False,False,False,True,False,False,False
32.0,19,2,6000000.0,0.66,2.44,22.24,0.723,2.62,0.84,0.91,5.93,0.84,0.29,0.84,0.33,0.95,2.997373388585291,1.5161846752844437,2.3524507159905017,False,False,True,False,False,False,False,False,True,False,False
